📺央视频道,#genre#
CCTV1,http://114.241.213.82:81/hls/1/index.m3u8
CCTV2,http://114.241.213.82:81/hls/2/index.m3u8
CCTV3,http://114.241.213.82:81/hls/3/index.m3u8
CCTV1,http://123.162.137.39:808/hls/1/index.m3u8
CCTV2,http://123.162.137.39:808/hls/2/index.m3u8
CCTV3,http://123.162.137.39:808/hls/3/index.m3u8
CCTV4,http://123.162.137.39:808/hls/4/index.m3u8
CCTV5,http://123.162.137.39:808/hls/5/index.m3u8
CCTV6,http://123.162.137.39:808/hls/6/index.m3u8
CCTV17,http://123.162.137.39:808/hls/7/index.m3u8
CCTV8,http://123.162.137.39:808/hls/8/index.m3u8
CCTV9,http://123.162.137.39:808/hls/9/index.m3u8
CCTV10,http://123.162.137.39:808/hls/10/index.m3u8
CCTV11,http://123.162.137.39:808/hls/11/index.m3u8
CCTV12,http://123.162.137.39:808/hls/12/index.m3u8
CCTV13,http://123.162.137.39:808/hls/13/index.m3u8
CCTV14,http://123.162.137.39:808/hls/14/index.m3u8
CCTV15,http://123.162.137.39:808/hls/15/index.m3u8
CCTV1,http://122.114.131.154:4001/hls/1/index.m3u8
CCTV2,http://122.114.131.154:4001/hls/2/index.m3u8
CCTV3,http://122.114.131.154:4001/hls/3/index.m3u8
CCTV4,http://122.114.131.154:4001/hls/4/index.m3u8
CCTV5,http://122.114.131.154:4001/hls/5/index.m3u8
CCTV6,http://122.114.131.154:4001/hls/6/index.m3u8
CCTV7,http://122.114.131.154:4001/hls/7/index.m3u8
CCTV8,http://122.114.131.154:4001/hls/8/index.m3u8
CCTV9,http://122.114.131.154:4001/hls/9/index.m3u8
CCTV10,http://122.114.131.154:4001/hls/10/index.m3u8
CCTV11,http://122.114.131.154:4001/hls/11/index.m3u8
CCTV12,http://122.114.131.154:4001/hls/12/index.m3u8
CCTV13,http://122.114.131.154:4001/hls/13/index.m3u8
CCTV14,http://122.114.131.154:4001/hls/14/index.m3u8
CCTV15,http://122.114.131.154:4001/hls/15/index.m3u8
CCTV5+,http://122.114.131.154:4001/hls/16/index.m3u8
CCTV1,http://39.152.227.215:808/hls/1/index.m3u8
CCTV3,http://39.152.227.215:808/hls/2/index.m3u8
CCTV5,http://39.152.227.215:808/hls/3/index.m3u8
CCTV6,http://39.152.227.215:808/hls/4/index.m3u8
CCTV14,http://39.152.227.215:808/hls/5/index.m3u8
CCTV15,http://39.152.227.215:808/hls/6/index.m3u8
CCTV1,http://61.240.150.5:81/hls/1/index.m3u8
CCTV2,http://61.240.150.5:81/hls/2/index.m3u8
CCTV3,http://61.240.150.5:81/hls/3/index.m3u8
CCTV4,http://61.240.150.5:81/hls/4/index.m3u8
CCTV5,http://61.240.150.5:81/hls/5/index.m3u8
CCTV6,http://61.240.150.5:81/hls/6/index.m3u8
CCTV7,http://61.240.150.5:81/hls/7/index.m3u8
CCTV8,http://61.240.150.5:81/hls/8/index.m3u8
CCTV9,http://61.240.150.5:81/hls/9/index.m3u8
CCTV10,http://61.240.150.5:81/hls/10/index.m3u8
CCTV11,http://61.240.150.5:81/hls/11/index.m3u8
CCTV12,http://61.240.150.5:81/hls/12/index.m3u8
CCTV13,http://61.240.150.5:81/hls/13/index.m3u8
CCTV14,http://61.240.150.5:81/hls/14/index.m3u8
CCTV15,http://61.240.150.5:81/hls/15/index.m3u8
CCTV5+,http://61.240.150.5:81/hls/18/index.m3u8
CCTV1,http://39.152.227.215:808/hls/1/index.m3u8
CCTV3,http://39.152.227.215:808/hls/2/index.m3u8
CCTV5,http://39.152.227.215:808/hls/3/index.m3u8
CCTV6,http://39.152.227.215:808/hls/4/index.m3u8
CCTV14,http://39.152.227.215:808/hls/5/index.m3u8
CCTV15,http://39.152.227.215:808/hls/6/index.m3u8
CCTV1,http://113.234.207.248:81/hls/1/index.m3u8
CCTV2,http://113.234.207.248:81/hls/2/index.m3u8
CCTV3,http://113.234.207.248:81/hls/3/index.m3u8
CCTV4,http://113.234.207.248:81/hls/4/index.m3u8
CCTV5,http://113.234.207.248:81/hls/5/index.m3u8
CCTV6,http://113.234.207.248:81/hls/6/index.m3u8
CCTV7,http://113.234.207.248:81/hls/7/index.m3u8
CCTV8,http://113.234.207.248:81/hls/8/index.m3u8
CCTV9,http://113.234.207.248:81/hls/9/index.m3u8
CCTV10,http://113.234.207.248:81/hls/10/index.m3u8
CCTV11,http://113.234.207.248:81/hls/11/index.m3u8
CCTV12,http://113.234.207.248:81/hls/12/index.m3u8
CCTV13,http://113.234.207.248:81/hls/13/index.m3u8
CCTV14,http://113.234.207.248:81/hls/14/index.m3u8
CCTV15,http://113.234.207.248:81/hls/15/index.m3u8
CCTV16,http://113.234.207.248:81/hls/16/index.m3u8
CCTV17,http://113.234.207.248:81/hls/17/index.m3u8
CCTV5+,http://113.234.207.248:81/hls/18/index.m3u8
CCTV高尔夫·网球,http://113.234.207.248:81/hls/60/index.m3u8
CCTV央视台球,http://113.234.207.248:81/hls/64/index.m3u8
CCTV4,http://113.234.207.248:81/hls/73/index.m3u8
CCTV4,http://113.234.207.248:81/hls/74/index.m3u8
CCTV1,http://111.36.102.239:8089/hls/1/index.m3u8
CCTV2,http://111.36.102.239:8089/hls/15/index.m3u8
CCTV3,http://111.36.102.239:8089/hls/16/index.m3u8
CCTV4,http://111.36.102.239:8089/hls/17/index.m3u8
CCTV5,http://111.36.102.239:8089/hls/18/index.m3u8
CCTV6,http://111.36.102.239:8089/hls/20/index.m3u8
CCTV7,http://111.36.102.239:8089/hls/21/index.m3u8
CCTV8,http://111.36.102.239:8089/hls/22/index.m3u8
CCTV9,http://111.36.102.239:8089/hls/23/index.m3u8
CCTV1,http://111.36.102.238:8089/hls/1/index.m3u8
CCTV2,http://111.36.102.238:8089/hls/15/index.m3u8
CCTV3,http://111.36.102.238:8089/hls/16/index.m3u8
CCTV4,http://111.36.102.238:8089/hls/17/index.m3u8
