📺央视频道,#genre#
CCTV1,http://122.114.131.154:4018/hls/1/index.m3u8
CCTV2,http://122.114.131.154:4018/hls/2/index.m3u8
CCTV3,http://122.114.131.154:4018/hls/3/index.m3u8
CCTV4,http://122.114.131.154:4018/hls/4/index.m3u8
CCTV5,http://122.114.131.154:4018/hls/5/index.m3u8
CCTV6,http://122.114.131.154:4018/hls/6/index.m3u8
CCTV7,http://122.114.131.154:4018/hls/7/index.m3u8
CCTV8,http://122.114.131.154:4018/hls/8/index.m3u8
CCTV9,http://122.114.131.154:4018/hls/9/index.m3u8
CCTV10,http://122.114.131.154:4018/hls/10/index.m3u8
CCTV11,http://122.114.131.154:4018/hls/11/index.m3u8
CCTV12,http://122.114.131.154:4018/hls/12/index.m3u8
CCTV13,http://122.114.131.154:4018/hls/13/index.m3u8
CCTV14,http://122.114.131.154:4018/hls/14/index.m3u8
CCTV15,http://122.114.131.154:4018/hls/15/index.m3u8
CCTV5+,http://122.114.131.154:4018/hls/16/index.m3u8
CCTV8,http://183.129.211.142:808/hls/2/index.m3u8
CCTV5,http://183.129.211.142:808/hls/3/index.m3u8
CCTV6,http://183.129.211.142:808/hls/6/index.m3u8
CCTV1,http://183.129.211.142:808/hls/8/index.m3u8
CCTV1,http://183.189.153.99:8081/hls/1/index.m3u8
CCTV2,http://183.189.153.99:8081/hls/2/index.m3u8
CCTV3,http://183.189.153.99:8081/hls/3/index.m3u8
CCTV4,http://183.189.153.99:8081/hls/4/index.m3u8
CCTV5,http://183.189.153.99:8081/hls/5/index.m3u8
CCTV6,http://183.189.153.99:8081/hls/6/index.m3u8
CCTV7,http://183.189.153.99:8081/hls/7/index.m3u8
CCTV8,http://183.189.153.99:8081/hls/8/index.m3u8
CCTV9,http://183.189.153.99:8081/hls/9/index.m3u8
CCTV10,http://183.189.153.99:8081/hls/10/index.m3u8
CCTV11,http://183.189.153.99:8081/hls/11/index.m3u8
CCTV12,http://183.189.153.99:8081/hls/12/index.m3u8
CCTV13,http://183.189.153.99:8081/hls/13/index.m3u8
CCTV14,http://183.189.153.99:8081/hls/14/index.m3u8
CCTV15,http://183.189.153.99:8081/hls/15/index.m3u8
CCTV16,http://183.189.153.99:8081/hls/16/index.m3u8
CCTV17,http://183.189.153.99:8081/hls/17/index.m3u8
CCTV5+,http://183.189.153.99:8081/hls/18/index.m3u8
📺卫视频道,#genre#
河北卫视,http://122.114.131.154:4018/hls/17/index.m3u8
湖南卫视,http://122.114.131.154:4018/hls/19/index.m3u8
浙江卫视,http://122.114.131.154:4018/hls/20/index.m3u8
江苏卫视,http://122.114.131.154:4018/hls/21/index.m3u8
北京卫视,http://122.114.131.154:4018/hls/22/index.m3u8
东方卫视,http://122.114.131.154:4018/hls/23/index.m3u8
天津卫视,http://122.114.131.154:4018/hls/24/index.m3u8
深圳卫视,http://122.114.131.154:4018/hls/25/index.m3u8
山东卫视,http://122.114.131.154:4018/hls/26/index.m3u8
广东卫视,http://122.114.131.154:4018/hls/27/index.m3u8
重庆卫视,http://122.114.131.154:4018/hls/28/index.m3u8
黑龙江卫视,http://122.114.131.154:4018/hls/29/index.m3u8
辽宁卫视,http://122.114.131.154:4018/hls/30/index.m3u8
安徽卫视,http://122.114.131.154:4018/hls/31/index.m3u8
江苏卫视,http://183.129.211.142:808/hls/1/index.m3u8
东方卫视,http://183.129.211.142:808/hls/4/index.m3u8
浙江卫视,http://183.129.211.142:808/hls/7/index.m3u8
山西卫视,http://183.189.153.99:8081/hls/19/index.m3u8
黄河卫视,http://183.189.153.99:8081/hls/20/index.m3u8
湖南卫视,http://183.189.153.99:8081/hls/25/index.m3u8
浙江卫视,http://183.189.153.99:8081/hls/26/index.m3u8
天津卫视,http://183.189.153.99:8081/hls/27/index.m3u8
东方卫视,http://183.189.153.99:8081/hls/28/index.m3u8
江苏卫视,http://183.189.153.99:8081/hls/29/index.m3u8
深圳卫视,http://183.189.153.99:8081/hls/30/index.m3u8
北京卫视,http://183.189.153.99:8081/hls/31/index.m3u8
重庆卫视,http://183.189.153.99:8081/hls/32/index.m3u8
湖北卫视,http://183.189.153.99:8081/hls/33/index.m3u8
山东卫视,http://183.189.153.99:8081/hls/34/index.m3u8
河北卫视,http://183.189.153.99:8081/hls/35/index.m3u8
广东卫视,http://183.189.153.99:8081/hls/36/index.m3u8
黑龙江卫视,http://183.189.153.99:8081/hls/37/index.m3u8
四川卫视,http://183.189.153.99:8081/hls/38/index.m3u8
东南卫视,http://183.189.153.99:8081/hls/39/index.m3u8
河南卫视,http://183.189.153.99:8081/hls/40/index.m3u8
宁夏卫视,http://183.189.153.99:8081/hls/41/index.m3u8
广西卫视,http://183.189.153.99:8081/hls/42/index.m3u8
江西卫视,http://183.189.153.99:8081/hls/43/index.m3u8
吉林卫视,http://183.189.153.99:8081/hls/44/index.m3u8
青海卫视,http://183.189.153.99:8081/hls/45/index.m3u8
云南卫视,http://183.189.153.99:8081/hls/46/index.m3u8
海南卫视,http://183.189.153.99:8081/hls/47/index.m3u8
陕西卫视,http://183.189.153.99:8081/hls/48/index.m3u8
内蒙古卫视,http://183.189.153.99:8081/hls/49/index.m3u8
甘肃卫视,http://183.189.153.99:8081/hls/50/index.m3u8
西藏卫视,http://183.189.153.99:8081/hls/51/index.m3u8
新疆卫视,http://183.189.153.99:8081/hls/52/index.m3u8
辽宁卫视,http://183.189.153.99:8081/hls/53/index.m3u8
安徽卫视,http://183.189.153.99:8081/hls/54/index.m3u8
贵州卫视,http://183.189.153.99:8081/hls/55/index.m3u8
兵团卫视,http://183.189.153.99:8081/hls/58/index.m3u8
📺DOX系列,#genre#
石家庄新闻综合高清,http://122.114.131.154:4018/hls/18/index.m3u8
📺数字频道,#genre#
金鹰纪实高清,http://122.114.131.154:4018/hls/32/index.m3u8
山西文体生活,http://183.189.153.99:8081/hls/24/index.m3u8
哈哈炫动,http://183.189.153.99:8081/hls/56/index.m3u8
金鹰卡通,http://183.189.153.99:8081/hls/59/index.m3u8
卡酷少儿,http://183.189.153.99:8081/hls/60/index.m3u8
📺地方频道,#genre#
浙江少儿,http://183.129.211.142:808/hls/5/index.m3u8
📺其他频道,#genre#
山西影视,http://183.189.153.99:8081/hls/21/index.m3u8
山西社会与法制,http://183.189.153.99:8081/hls/22/index.m3u8
山西经济与科技,http://183.189.153.99:8081/hls/23/index.m3u8
中国教育,http://183.189.153.99:8081/hls/57/index.m3u8
