📺央视频道,#genre#
CCTV1,http://183.189.153.99:8081/hls/1/index.m3u8
CCTV2,http://183.189.153.99:8081/hls/2/index.m3u8
CCTV3,http://183.189.153.99:8081/hls/3/index.m3u8
CCTV4,http://183.189.153.99:8081/hls/4/index.m3u8
CCTV5,http://183.189.153.99:8081/hls/5/index.m3u8
CCTV6,http://183.189.153.99:8081/hls/6/index.m3u8
CCTV7,http://183.189.153.99:8081/hls/7/index.m3u8
CCTV8,http://183.189.153.99:8081/hls/8/index.m3u8
CCTV9,http://183.189.153.99:8081/hls/9/index.m3u8
CCTV10,http://183.189.153.99:8081/hls/10/index.m3u8
CCTV11,http://183.189.153.99:8081/hls/11/index.m3u8
CCTV12,http://183.189.153.99:8081/hls/12/index.m3u8
CCTV13,http://183.189.153.99:8081/hls/13/index.m3u8
CCTV14,http://183.189.153.99:8081/hls/14/index.m3u8
CCTV15,http://183.189.153.99:8081/hls/15/index.m3u8
CCTV16,http://183.189.153.99:8081/hls/16/index.m3u8
CCTV17,http://183.189.153.99:8081/hls/17/index.m3u8
CCTV5+,http://183.189.153.99:8081/hls/18/index.m3u8
CCTV1,http://114.252.126.226:8899/hls/1/index.m3u8
CCTV2,http://114.252.126.226:8899/hls/2/index.m3u8
CCTV3,http://114.252.126.226:8899/hls/3/index.m3u8
CCTV4,http://114.252.126.226:8899/hls/4/index.m3u8
CCTV5,http://114.252.126.226:8899/hls/5/index.m3u8
CCTV6,http://114.252.126.226:8899/hls/6/index.m3u8
CCTV7,http://114.252.126.226:8899/hls/7/index.m3u8
CCTV8,http://114.252.126.226:8899/hls/8/index.m3u8
CCTV9,http://114.252.126.226:8899/hls/9/index.m3u8
CCTV10,http://114.252.126.226:8899/hls/10/index.m3u8
CCTV11,http://114.252.126.226:8899/hls/11/index.m3u8
CCTV12,http://114.252.126.226:8899/hls/12/index.m3u8
CCTV13,http://114.252.126.226:8899/hls/13/index.m3u8
CCTV14,http://114.252.126.226:8899/hls/14/index.m3u8
CCTV15,http://114.252.126.226:8899/hls/15/index.m3u8
📺卫视频道,#genre#
山西卫视,http://183.189.153.99:8081/hls/19/index.m3u8
黄河卫视,http://183.189.153.99:8081/hls/20/index.m3u8
湖南卫视,http://183.189.153.99:8081/hls/25/index.m3u8
浙江卫视,http://183.189.153.99:8081/hls/26/index.m3u8
天津卫视,http://183.189.153.99:8081/hls/27/index.m3u8
东方卫视,http://183.189.153.99:8081/hls/28/index.m3u8
江苏卫视,http://183.189.153.99:8081/hls/29/index.m3u8
深圳卫视,http://183.189.153.99:8081/hls/30/index.m3u8
北京卫视,http://183.189.153.99:8081/hls/31/index.m3u8
重庆卫视,http://183.189.153.99:8081/hls/32/index.m3u8
湖北卫视,http://183.189.153.99:8081/hls/33/index.m3u8
山东卫视,http://183.189.153.99:8081/hls/34/index.m3u8
河北卫视,http://183.189.153.99:8081/hls/35/index.m3u8
广东卫视,http://183.189.153.99:8081/hls/36/index.m3u8
黑龙江卫视,http://183.189.153.99:8081/hls/37/index.m3u8
四川卫视,http://183.189.153.99:8081/hls/38/index.m3u8
东南卫视,http://183.189.153.99:8081/hls/39/index.m3u8
河南卫视,http://183.189.153.99:8081/hls/40/index.m3u8
宁夏卫视,http://183.189.153.99:8081/hls/41/index.m3u8
广西卫视,http://183.189.153.99:8081/hls/42/index.m3u8
江西卫视,http://183.189.153.99:8081/hls/43/index.m3u8
吉林卫视,http://183.189.153.99:8081/hls/44/index.m3u8
青海卫视,http://183.189.153.99:8081/hls/45/index.m3u8
云南卫视,http://183.189.153.99:8081/hls/46/index.m3u8
海南卫视,http://183.189.153.99:8081/hls/47/index.m3u8
陕西卫视,http://183.189.153.99:8081/hls/48/index.m3u8
内蒙古卫视,http://183.189.153.99:8081/hls/49/index.m3u8
甘肃卫视,http://183.189.153.99:8081/hls/50/index.m3u8
西藏卫视,http://183.189.153.99:8081/hls/51/index.m3u8
