📺央视频道,#genre#
CCTV1,http://live1.hrtn.net/live/cctv1hd_3000.m3u8?auth_key=1761418223-7bfa0d94446466426d17d4e0c1968a58-0-2a336dab949e7266887eacb2bad9ecf4
CCTV2,http://live1.hrtn.net/live/cctv2hd_3000.m3u8?auth_key=1761418223-27031b62d28a10e88bdf0347187649c9-0-525fdac8c8601a10eae5fae2fa074fb0
CCTV3,http://live1.hrtn.net/live/cctv3hd_3000.m3u8?auth_key=1761418223-f59f0ce7edaada8e81bf2e6de40d44ce-0-6a0c6e8de674ea62768d82931a8ee3b7
CCTV4,http://live1.hrtn.net/live/cctv4_1000.m3u8?auth_key=1761418223-1525549dbb3f098c029e71cc7889a86f-0-88e9cc543d396c92da429dbb9c989943
CCTV5,http://live1.hrtn.net/live/cctv5hd_3000.m3u8?auth_key=1761418223-8696d4e8525592fc9a07784ebf17c6d6-0-85818aec432609bfd96631b3f9c11e79
CCTV5+,http://live1.hrtn.net/live/cctv5jhd_3000.m3u8?auth_key=1761418223-2dd62980e884712a5478aa6b34e02a50-0-43c2223a5705a39700912597410953fc
CCTV6,http://live1.hrtn.net/live/cctv6hd_3000.m3u8?auth_key=1761418223-73de84ce64e2f6d611f0642365731dc5-0-fd3b2303215e9b9958d7f2dc328ee695
CCTV7,http://live1.hrtn.net/live/cctv7hd_3000.m3u8?auth_key=1761418223-10f67c5bf20c5804fceae6385e6eb50a-0-796cfe0664d93236a24c8ea09425bc2f
CCTV8,http://live1.hrtn.net/live/cctv8hd_3000.m3u8?auth_key=1761418223-4de4bc93c1f81938dfd65700f30a05af-0-6b636b68511ce1fb3424d1e8f957763d
CCTV9,http://live1.hrtn.net/live/cctv9hd_3000.m3u8?auth_key=1761418223-cbef89ffba0273cee5fc727cc9df9d1c-0-551952344e302e87de24500a0b0fdf1c
CCTV10,http://live1.hrtn.net/live/cctv10hd_3000.m3u8?auth_key=1761418223-337fdbadda2be745852baa94f2d52bfa-0-c9c7a8f38f3e92ac19800db2dee2b596
CCTV11,http://live1.hrtn.net/live/cctv11_1000.m3u8?auth_key=1761418223-a8cf58a932ef510e7476ca49fafcfe30-0-8b383d335cff0d5ef9d16869069a6241
CCTV12,http://live1.hrtn.net/live/cctv12hd_3000.m3u8?auth_key=1761418223-e0ee0b0a5f99feaca694fadc1727fbaa-0-881a6e1ffd7d68458497cda05128b5ad
CCTV13,http://live1.hrtn.net/live/cctv13_1000.m3u8?auth_key=1761418223-9286b84cfe0c5e8a0a5975673128f136-0-accc76cc15c6b6d0fad457147de0db33
CCTV14,http://live1.hrtn.net/live/cctv17hd_3000.m3u8?auth_key=1761418223-1eae7780711339ad0e8f9d44993b7941-0-85e1d7162270c18057c0f30a089ac467
CCTV15,http://live1.hrtn.net/live/cctv14_1000.m3u8?auth_key=1761418223-86088500604008cacdf028165704e629-0-89c75202ef44c925c4a4270f369ebcaa
CCTV16,http://live1.hrtn.net/live/cctv16hd_3000.m3u8?auth_key=1761418223-5e4c710513d8e768f5dd9662d7d08aeb-0-3a479e88d8453b0baa8934a1e98a3fbc
CCTV17,http://live1.hrtn.net/live/cctv14hd_3000.m3u8?auth_key=1761418223-83777b3b5959df77af115f42655ee386-0-cba184b80e96722c829250a07e371acb
CCTV1,https://httop.top/gitv-cctv1
CCTV2,https://httop.top/gitv-cctv2
CCTV3,https://httop.top/gitv-cctv3
CCTV4,https://httop.top/gitv-cctv4
CCTV5,https://httop.top/gitv-cctv5
CCTV5+,https://httop.top/gitv-cctv5+
CCTV6,https://httop.top/gitv-cctv6
CCTV7,https://httop.top/gitv-cctv7
CCTV8,https://httop.top/gitv-cctv8
CCTV9,https://httop.top/gitv-cctv9
CCTV10,https://httop.top/gitv-cctv10
CCTV11,https://httop.top/gitv-cctv11
CCTV12,https://httop.top/gitv-cctv12
CCTV13,https://httop.top/gitv-cctv13
CCTV14,https://httop.top/gitv-cctv14
CCTV15,https://httop.top/gitv-cctv15
CCTV16,https://httop.top/gitv-cctv16
CCTV17,https://httop.top/gitv-cctv17
CGTN,https://httop.top/gitv-cgtn
CCTV1,https://httop.top/ysp-cctv1
CCTV2,https://httop.top/ysp-cctv2
CCTV3,https://httop.top/ysp-cctv3
CCTV4,https://httop.top/ysp-cctv4
CCTV5,https://httop.top/ysp-cctv5
CCTV5+,https://httop.top/ysp-cctv5+
CCTV6,https://httop.top/ysp-cctv6
CCTV7,https://httop.top/ysp-cctv7
CCTV8,https://httop.top/ysp-cctv8
CCTV9,https://httop.top/ysp-cctv9
CCTV10,https://httop.top/ysp-cctv10
CCTV13,https://httop.top/ysp-cctv13
CCTV8K,https://httop.top/ysp-cctv8k
CGTN,https://httop.top/ysp-cgtn
CCTV2,http://218.19.108.67:808/hls/2/index.m3u8
CCTV1,http://218.19.108.67:808/hls/1/index.m3u8
CCTV4,http://218.19.108.67:808/hls/3/index.m3u8
CCTV9,http://218.19.108.67:808/hls/5/index.m3u8
CCTV5+,http://218.19.108.67:808/hls/31/index.m3u8
CCTV5+,http://218.19.108.67:808/hls/31/index.m3u8
CCTV2,http://218.19.109.221:808/hls/2/index.m3u8
CCTV1,http://218.19.109.221:808/hls/1/index.m3u8
CCTV4,http://218.19.109.221:808/hls/3/index.m3u8
CCTV9,http://218.19.109.221:808/hls/5/index.m3u8
CCTV5+,http://218.19.109.221:808/hls/31/index.m3u8
CCTV5+,http://218.19.109.221:808/hls/31/index.m3u8
CCTV2,http://218.19.108.185:808/hls/2/index.m3u8
CCTV1,http://218.19.108.185:808/hls/1/index.m3u8
CCTV4,http://218.19.108.185:808/hls/3/index.m3u8
CCTV9,http://218.19.108.185:808/hls/5/index.m3u8
CCTV5+,http://218.19.108.185:808/hls/31/index.m3u8
CCTV5+,http://218.19.108.185:808/hls/31/index.m3u8
CCTV2,http://218.19.108.170:808/hls/2/index.m3u8
CCTV1,http://218.19.108.170:808/hls/1/index.m3u8
CCTV4,http://218.19.108.170:808/hls/3/index.m3u8
CCTV9,http://218.19.108.170:808/hls/5/index.m3u8
CCTV5+,http://218.19.108.170:808/hls/31/index.m3u8
CCTV5+,http://218.19.108.170:808/hls/31/index.m3u8
CCTV1,http://1.31.14.70:54321/hls/2/index.m3u8
CCTV2,http://1.31.14.70:54321/hls/4/index.m3u8
CCTV3,http://1.31.14.70:54321/hls/6/index.m3u8
CCTV4,http://1.31.14.70:54321/hls/13/index.m3u8
CCTV5,http://1.31.14.70:54321/hls/7/index.m3u8
CCTV6,http://1.31.14.70:54321/hls/8/index.m3u8
CCTV7,http://1.31.14.70:54321/hls/9/index.m3u8
CCTV8,http://1.31.14.70:54321/hls/14/index.m3u8
CCTV9,http://1.31.14.70:54321/hls/10/index.m3u8
CCTV10,http://1.31.14.70:54321/hls/11/index.m3u8
CCTV11,http://1.31.14.70:54321/hls/16/index.m3u8
CCTV12,http://1.31.14.70:54321/hls/12/index.m3u8
CCTV13,http://1.31.14.70:54321/hls/19/index.m3u8
CCTV14,http://1.31.14.70:54321/hls/22/index.m3u8
CCTV1,http://180.119.100.112:8200/hls/1/index.m3u8
CCTV2,http://180.119.100.112:8200/hls/2/index.m3u8
CCTV4,http://180.119.100.112:8200/hls/4/index.m3u8
CCTV5,http://180.119.100.112:8200/hls/5/index.m3u8
CCTV6,http://180.119.100.112:8200/hls/6/index.m3u8
CCTV8,http://180.119.100.112:8200/hls/8/index.m3u8
CCTV9,http://180.119.100.112:8200/hls/9/index.m3u8
CCTV10,http://180.119.100.112:8200/hls/10/index.m3u8
CCTV11,http://180.119.100.112:8200/hls/11/index.m3u8
CCTV12,http://180.119.100.112:8200/hls/12/index.m3u8
CCTV13,http://180.119.100.112:8200/hls/13/index.m3u8
CCTV14,http://180.119.100.112:8200/hls/14/index.m3u8
CCTV15,http://180.119.100.112:8200/hls/15/index.m3u8
CCTV17,http://180.119.100.112:8200/hls/16/index.m3u8
CCTV1,http://124.88.238.50:82/hls/1/index.m3u8
CCTV2,http://124.88.238.50:82/hls/2/index.m3u8
CCTV3,http://124.88.238.50:82/hls/3/index.m3u8
CCTV4,http://124.88.238.50:82/hls/4/index.m3u8
CCTV5,http://124.88.238.50:82/hls/5/index.m3u8
CCTV5+,http://124.88.238.50:82/hls/6/index.m3u8
CCTV6,http://124.88.238.50:82/hls/7/index.m3u8
CCTV8,http://124.88.238.50:82/hls/8/index.m3u8
CCTV11,http://124.88.238.50:82/hls/10/index.m3u8
CCTV12,http://124.88.238.50:82/hls/11/index.m3u8
CCTV13,http://124.88.238.50:82/hls/12/index.m3u8
CCTV1,http://61.52.68.202:9003/hls/1/index.m3u8
CCTV2,http://61.52.68.202:9003/hls/2/index.m3u8
CCTV3,http://61.52.68.202:9003/hls/3/index.m3u8
CCTV4,http://61.52.68.202:9003/hls/4/index.m3u8
CCTV5,http://61.52.68.202:9003/hls/5/index.m3u8
CCTV6,http://61.52.68.202:9003/hls/6/index.m3u8
CCTV7,http://61.52.68.202:9003/hls/7/index.m3u8
CCTV8,http://61.52.68.202:9003/hls/8/index.m3u8
CCTV9,http://61.52.68.202:9003/hls/9/index.m3u8
CCTV10,http://61.52.68.202:9003/hls/10/index.m3u8
CCTV11,http://61.52.68.202:9003/hls/11/index.m3u8
CCTV12,http://61.52.68.202:9003/hls/12/index.m3u8
CCTV13,http://61.52.68.202:9003/hls/13/index.m3u8
CCTV14,http://61.52.68.202:9003/hls/14/index.m3u8
CCTV15,http://61.52.68.202:9003/hls/15/index.m3u8
CCTV5+,http://61.52.68.202:9003/hls/68/index.m3u8
CCTV1,http://123.14.181.31:8899/hls/1/index.m3u8
CCTV2,http://123.14.181.31:8899/hls/2/index.m3u8
CCTV3,http://123.14.181.31:8899/hls/3/index.m3u8
CCTV4,http://123.14.181.31:8899/hls/4/index.m3u8
CCTV5,http://123.14.181.31:8899/hls/5/index.m3u8
CCTV6,http://123.14.181.31:8899/hls/6/index.m3u8
CCTV7,http://123.14.181.31:8899/hls/7/index.m3u8
CCTV8,http://123.14.181.31:8899/hls/8/index.m3u8
CCTV9,http://123.14.181.31:8899/hls/9/index.m3u8
CCTV10,http://123.14.181.31:8899/hls/10/index.m3u8
CCTV11,http://123.14.181.31:8899/hls/11/index.m3u8
CCTV12,http://123.14.181.31:8899/hls/12/index.m3u8
CCTV13,http://123.14.181.31:8899/hls/13/index.m3u8
CCTV14,http://123.14.181.31:8899/hls/14/index.m3u8
CCTV15,http://123.14.181.31:8899/hls/15/index.m3u8
CCTV17,http://123.14.181.31:8899/hls/17/index.m3u8
CCTV5+,http://123.14.181.31:8899/hls/18/index.m3u8
CCTV1,http://124.88.238.50:81/hls/1/index.m3u8
CCTV2,http://124.88.238.50:81/hls/2/index.m3u8
CCTV3,http://124.88.238.50:81/hls/3/index.m3u8
CCTV4,http://124.88.238.50:81/hls/4/index.m3u8
CCTV5,http://124.88.238.50:81/hls/5/index.m3u8
CCTV5+,http://124.88.238.50:81/hls/6/index.m3u8
CCTV6,http://124.88.238.50:81/hls/7/index.m3u8
CCTV8,http://124.88.238.50:81/hls/8/index.m3u8
CCTV11,http://124.88.238.50:81/hls/10/index.m3u8
CCTV12,http://124.88.238.50:81/hls/11/index.m3u8
CCTV13,http://124.88.238.50:81/hls/12/index.m3u8
CCTV1,http://114.241.218.69:81/hls/1/index.m3u8
CCTV2,http://114.241.218.69:81/hls/2/index.m3u8
CCTV3,http://114.241.218.69:81/hls/3/index.m3u8
CCTV1,http://123.14.181.31:9003/hls/1/index.m3u8
CCTV2,http://123.14.181.31:9003/hls/2/index.m3u8
CCTV3,http://123.14.181.31:9003/hls/3/index.m3u8
CCTV4,http://123.14.181.31:9003/hls/4/index.m3u8
CCTV5,http://123.14.181.31:9003/hls/5/index.m3u8
CCTV6,http://123.14.181.31:9003/hls/6/index.m3u8
CCTV7,http://123.14.181.31:9003/hls/7/index.m3u8
