📺央视频道,#genre#
CCTV1,http://182.117.194.230:8888/hls/1/index.m3u8
CCTV2,http://182.117.194.230:8888/hls/2/index.m3u8
CCTV3,http://182.117.194.230:8888/hls/3/index.m3u8
CCTV4,http://182.117.194.230:8888/hls/4/index.m3u8
CCTV5,http://182.117.194.230:8888/hls/5/index.m3u8
CCTV6,http://182.117.194.230:8888/hls/6/index.m3u8
CCTV7,http://182.117.194.230:8888/hls/7/index.m3u8
CCTV8,http://182.117.194.230:8888/hls/8/index.m3u8
CCTV9,http://182.117.194.230:8888/hls/9/index.m3u8
CCTV10,http://182.117.194.230:8888/hls/10/index.m3u8
CCTV11,http://182.117.194.230:8888/hls/11/index.m3u8
CCTV12,http://182.117.194.230:8888/hls/12/index.m3u8
CCTV13,http://182.117.194.230:8888/hls/13/index.m3u8
CCTV14,http://182.117.194.230:8888/hls/14/index.m3u8
CCTV15,http://182.117.194.230:8888/hls/15/index.m3u8
CCTV5+,http://182.117.194.230:8888/hls/16/index.m3u8
CCTV1,http://182.117.236.199:8888/hls/1/index.m3u8
CCTV2,http://182.117.236.199:8888/hls/2/index.m3u8
CCTV3,http://182.117.236.199:8888/hls/3/index.m3u8
CCTV4,http://182.117.236.199:8888/hls/4/index.m3u8
CCTV5,http://182.117.236.199:8888/hls/5/index.m3u8
CCTV6,http://182.117.236.199:8888/hls/6/index.m3u8
CCTV7,http://182.117.236.199:8888/hls/7/index.m3u8
CCTV8,http://182.117.236.199:8888/hls/8/index.m3u8
CCTV9,http://182.117.236.199:8888/hls/9/index.m3u8
CCTV10,http://182.117.236.199:8888/hls/10/index.m3u8
CCTV11,http://182.117.236.199:8888/hls/11/index.m3u8
CCTV12,http://182.117.236.199:8888/hls/12/index.m3u8
CCTV13,http://182.117.236.199:8888/hls/13/index.m3u8
CCTV14,http://182.117.236.199:8888/hls/14/index.m3u8
CCTV15,http://182.117.236.199:8888/hls/15/index.m3u8
CCTV5+,http://182.117.236.199:8888/hls/16/index.m3u8
CCTV1,http://112.27.235.94:8000/hls/1/index.m3u8
CCTV2,http://112.27.235.94:8000/hls/2/index.m3u8
CCTV3,http://112.27.235.94:8000/hls/3/index.m3u8
CCTV4,http://112.27.235.94:8000/hls/4/index.m3u8
CCTV5,http://112.27.235.94:8000/hls/5/index.m3u8
