📺其他频道,#genre#
中央一台,http://119.39.224.19:808/hls/1/index.m3u8
中央二台,http://119.39.224.19:808/hls/2/index.m3u8
中央三台,http://119.39.224.19:808/hls/3/index.m3u8
中央四台,http://119.39.224.19:808/hls/4/index.m3u8
中央五台,http://119.39.224.19:808/hls/5/index.m3u8
中央六台,http://119.39.224.19:808/hls/7/index.m3u8
中央七台,http://119.39.224.19:808/hls/8/index.m3u8
中央八台,http://119.39.224.19:808/hls/9/index.m3u8
中央九台,http://119.39.224.19:808/hls/10/index.m3u8
中央十台,http://119.39.224.19:808/hls/11/index.m3u8
中央十一台,http://119.39.224.19:808/hls/12/index.m3u8
中央十二台,http://119.39.224.19:808/hls/13/index.m3u8
中央十三台,http://119.39.224.19:808/hls/14/index.m3u8
中央十四台,http://119.39.224.19:808/hls/15/index.m3u8
中央十五台,http://119.39.224.19:808/hls/16/index.m3u8
中央十七台,http://119.39.224.19:808/hls/17/index.m3u8
长沙新闻,http://119.39.224.19:808/hls/28/index.m3u8
长沙政法,http://119.39.224.19:808/hls/29/index.m3u8
动作影院,http://122.114.131.154:4060/hls/32/index.m3u8
喜剧影院,http://122.114.131.154:4060/hls/37/index.m3u8
星影,http://122.114.131.154:4060/hls/38/index.m3u8
军事,http://122.114.131.154:4060/hls/39/index.m3u8
法制,http://122.114.131.154:4060/hls/40/index.m3u8
哈尔滨新闻,http://111.43.126.240:7777/hls/1/index.m3u8
哈尔滨影视,http://111.43.126.240:7777/hls/5/index.m3u8
CCTC-17农业,http://111.43.126.240:7777/hls/30/index.m3u8
CGTN-1,http://111.43.126.240:7777/hls/32/index.m3u8
CGTN-2,http://111.43.126.240:7777/hls/33/index.m3u8
CETV-1,http://111.43.126.240:7777/hls/34/index.m3u8
CETV-2,http://111.43.126.240:7777/hls/35/index.m3u8
CETV-4,http://111.43.126.240:7777/hls/36/index.m3u8
炫动卡通,http://111.43.126.240:7777/hls/72/index.m3u8
惊辣悬疑,http://111.43.126.240:7777/hls/77/index.m3u8
嗨看暑假,http://111.43.126.240:7777/hls/79/index.m3u8
精品记录,http://111.43.126.240:7777/hls/88/index.m3u8
潮妈辣妹,http://111.43.126.240:7777/hls/94/index.m3u8
武博世界,http://111.43.126.240:7777/hls/95/index.m3u8
精品综艺,http://111.43.126.240:7777/hls/97/index.m3u8
热播精选,http://111.43.126.240:7777/hls/98/index.m3u8
咪咕精彩足球,http://111.43.126.240:7777/hls/103/index.m3u8
少儿动画,http://114.252.112.253:8899/hls/32/index.m3u8
梨园,http://124.93.18.238:81/hls/62/index.m3u8
1,http://144.0.23.11:8085/hls/1/index.m3u8
2,http://144.0.23.11:8085/hls/2/index.m3u8
3,http://144.0.23.11:8085/hls/3/index.m3u8
4,http://144.0.23.11:8085/hls/4/index.m3u8
5,http://144.0.23.11:8085/hls/5/index.m3u8
6,http://144.0.23.11:8085/hls/6/index.m3u8
7,http://144.0.23.11:8085/hls/7/index.m3u8
8,http://144.0.23.11:8085/hls/8/index.m3u8
9,http://144.0.23.11:8085/hls/9/index.m3u8
10,http://144.0.23.11:8085/hls/10/index.m3u8
11,http://144.0.23.11:8085/hls/11/index.m3u8
12,http://144.0.23.11:8085/hls/12/index.m3u8
13,http://144.0.23.11:8085/hls/13/index.m3u8
14,http://144.0.23.11:8085/hls/14/index.m3u8
15,http://144.0.23.11:8085/hls/15/index.m3u8
16,http://144.0.23.11:8085/hls/16/index.m3u8
17,http://144.0.23.11:8085/hls/17/index.m3u8
18,http://144.0.23.11:8085/hls/18/index.m3u8
